id,name,email,admissionsContact,phone,contactPageUrl,notFound
cmr8bgr330003vkmzf8x0h8tt,Aardvark Israel,info@aardvarkisrael.com,,+972 52 429 3681,https://aardvarkisrael.com/contact/,FALSE
cmr8bgral0012vkmzddflmkpc,Achvat Amim,elly@achvatamim.org,,,https://www.achvatamim.org/contact--newsletter.html,FALSE
cmrx63wwt0000fqmzf9nnftxv,Aish Gesher Women,efgwomen@aish.com,,,https://aishgesherwomen.com/,FALSE
cmr9qk0010028rumzkgh8qo64,Aish HaTorah – Aish Gesher,yeshiva@aish.com,,973-833-3313,https://yeshiva.aish.com/entry-programs/,FALSE
cmrapcvd1000ebkmzta6g8naw,Aish HaTorah – Essentials Program,info@aish.com,,973-833-3313,https://about.aish.com/contact/,FALSE
cmr9qk4qf002arumz9vhu26n1,Aish HaTorah – Foundations Program,yeshiva@aish.com,,973-833-3313,https://yeshiva.aish.com/entry-programs/,FALSE
cmr8qclp60010jbmzrs23ryrp,Alexander Muss High School in Israel (AMHSI),discover@amhsi.org,,800.327.5980,https://www.amhsi.org/discover,FALSE
cmrwiyk5u0002s2mz2r49ptld,Amijai (World Bnei Akiva),office@worldbneiakiva.org,,+972-2-620-9012,https://www.worldbneiakiva.org/amijai,FALSE
cmrx6w74k00000zmzruxk5l2z,Amlat Program (Midreshet Lindenbaum),,,,,TRUE
cmr8qc13h000ojbmzuk81kmr0,APF Medical & Nursing Volunteer Program,info@apfmed.org,,617-232-5382,https://apfmed.org/programs/volunteer-in-israel/,FALSE
cmr8qc69d000tjbmzgb9bswu3,Arava Institute for Environmental Studies,info@arava.org,admissions@arava.org,972-8-6356618,https://arava.org/apply-2/,FALSE
cmra8em5m00062wmz2o0hxd5u,Arevim - Masa Year of Service,yuvalc@hholamit.org.il,,+972 5096 61500,https://www.hholamit.org.il/en/arevim/,FALSE
cmr9qe84d0002rumz60jxa6st,Ariel University International Program,,,,,TRUE
cmr8qbcdd000bjbmz0jpqs95c,Artzi,,,,,TRUE
cmrapglrf001ybkmzqm5fqfoc,Ateres Bnos Yerushalayim,,,,,TRUE
cmrx642sd000afqmzdhhq60cr,B'nos Avigail,dkass@nevey.org,,++972-2-654-4553,https://www.tziporahhellergottlieb.com/bnos-avigail-seminary.html,FALSE
cmrapf8zx001dbkmz6a077g00,Baer Miriam,office@baermiriam.com,,,https://www.baermiriam.com,FALSE
cmrk7cds90000kimz9rfszawd,Baer Miriam (Ma'ayanot),office@baermiriam.com,,,https://www.baermiriam.com,FALSE
